2022-08-27 18:00:38,826 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.2.3.Final
2022-08-27 18:00:39,397 [main] INFO  [com.alibaba.nacos.common.remote.client] RpcClientFactory.java:80 - [RpcClientFactory] create a new rpc client of bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0
2022-08-27 18:00:39,453 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 36 ms to scan 1 urls, producing 3 keys and 6 values 
2022-08-27 18:00:39,479 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 13 ms to scan 1 urls, producing 4 keys and 9 values 
2022-08-27 18:00:39,494 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 12 ms to scan 1 urls, producing 3 keys and 10 values 
2022-08-27 18:00:39,582 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 83 ms to scan 110 urls, producing 0 keys and 0 values 
2022-08-27 18:00:39,591 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 8 ms to scan 1 urls, producing 1 keys and 5 values 
2022-08-27 18:00:39,602 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 9 ms to scan 1 urls, producing 1 keys and 7 values 
2022-08-27 18:00:39,612 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
2022-08-27 18:00:39,694 [main] INFO  [org.reflections.Reflections] Reflections.java:232 - Reflections took 80 ms to scan 110 urls, producing 0 keys and 0 values 
2022-08-27 18:00:39,697 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
2022-08-27 18:00:39,698 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$328/2089104518
2022-08-27 18:00:39,698 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/390994793
2022-08-27 18:00:39,699 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2022-08-27 18:00:39,699 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2022-08-27 18:00:39,706 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8849}
2022-08-27 18:00:40,545 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Success to connect to server [127.0.0.1:8849] on start up, connectionId = 1661594440362_127.0.0.1_62710
2022-08-27 18:00:40,546 [com.alibaba.nacos.client.remote.worker] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Notify connected event to listeners.
2022-08-27 18:00:40,546 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2022-08-27 18:00:40,547 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [bcc5fd32-ff86-4aaa-86e2-8f8611a4c57e_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$338/1777381620
2022-08-27 18:00:40,590 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[sylvanas-gateway-dev.yml] & group[DEFAULT_GROUP]
2022-08-27 18:00:40,594 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[sylvanas-redis-dev.yml] & group[DEFAULT_GROUP]
2022-08-27 18:00:40,596 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[sylvanas-gateway] & group[SYLVANAS_GROUP]
2022-08-27 18:00:40,599 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[sylvanas-gateway.yml] & group[SYLVANAS_GROUP]
2022-08-27 18:00:40,605 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration] PropertySourceBootstrapConfiguration.java:109 - Located property source: [BootstrapPropertySource {name='bootstrapProperties-sylvanas-gateway-dev.yml,SYLVANAS_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-sylvanas-gateway.yml,SYLVANAS_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-sylvanas-gateway,SYLVANAS_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-sylvanas-redis-dev.yml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-sylvanas-gateway-dev.yml,DEFAULT_GROUP'}]
2022-08-27 18:00:40,609 [main] INFO  [com.sylvanas.gateway.SylvanasGatewayApplication] SpringApplication.java:640 - The following 1 profile is active: "dev"
2022-08-27 18:00:40,961 [main] INFO  [o.springframework.cloud.context.scope.GenericScope] GenericScope.java:283 - BeanFactory id=b248944b-2c9d-31f6-b8a6-c3d4af6c3165
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [After]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Before]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Between]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Cookie]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Header]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Host]
2022-08-27 18:00:41,618 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Method]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Path]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Query]
